title,intro,qq
西电开源社区,OwO,851993750
西电Hifi社团,OwO,748159827 
西电ACG东方萌妹子社团,OwO,345988348
西电ACG偶像同好会,OwO,490862262
西电ACG-Minecraft社团,0.o,684941112
西电网络问题答疑群(网络管理协会),OwO,739956355
西电睿思论坛/资源站咨询群,OwO,346648508
西电极限飞盘社,快到盘里来,861106373
西电骑行者,“有些事，如果你现在不做，那以后再也没有机会了”,238569746
